Uniprot Accession,Molecular weight (Da),Description,Gene,abundance_lb_copies_per_cell,abundance_glucose_copies_per_cell
P06721,43167.00941,Cystathionine beta-lyase metC OS=Escherichia coli (strain K12) GN=metC PE=1 SV=1,metC,112,1147
P52697,36266.85229,6-phosphogluconolactonase OS=Escherichia coli (strain K12) GN=pgl PE=1 SV=2,pgl,1098,776
P0A9Q5,33282.06852,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1,accD,2245,1488
P0A8K1,35893.65515,Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=psd PE=1 SV=1,psd,1295,981
P0ADE6,16035.27366,Uncharacterized protein ygaU OS=Escherichia coli (strain K12) GN=ygaU PE=1 SV=2,ygaU,249,536
P76316,35113.19951,D-cysteine desulfhydrase OS=Escherichia coli (strain K12) GN=dcyD PE=1 SV=4,dcyD,520,1337
P0A9W9,20214.2959,Protein YrdA OS=Escherichia coli (strain K12) GN=yrdA PE=1 SV=1,yrdA,909,1166
P33920,37781.14933,Nucleoid-associated protein YejK OS=Escherichia coli (strain K12) GN=yejK PE=1 SV=3,yejK,1265,1016
P0A9K3,38996.53281,PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2,ybeZ,1277,787
P16456,36645.68535,"Selenide, water dikinase OS=Escherichia coli (strain K12) GN=selD PE=1 SV=1",selD,1296,699
P0AEG6,25586.89691,Thiol:disulfide interchange protein DsbC OS=Escherichia coli (strain K12) GN=dsbC PE=1 SV=1,dsbC,809,734
P37744,32654.70736,Glucose-1-phosphate thymidylyltransferase 1 OS=Escherichia coli (strain K12) GN=rmlA1 PE=1 SV=2,rmlA,1201,688
P09030,30931.52872,Exodeoxyribonuclease III OS=Escherichia coli (strain K12) GN=xthA PE=1 SV=4,xthA,743,577
P33570,72978.83065,Transketolase 2 OS=Escherichia coli (strain K12) GN=tktB PE=1 SV=1,tktB,57,201
P76015,38173.13622,"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK OS=Escherichia coli (strain K12) GN=dhaK PE=1 SV=2",dhaK,706,300
P25437,39315.85811,S-(hydroxymethyl)glutathione dehydrogenase OS=Escherichia coli (strain K12) GN=frmA PE=1 SV=3,frmA,1221,549
P60390,34838.18791,Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1,rsmH,409,333
P08192,45359.43089,Bifunctional protein folC OS=Escherichia coli (strain K12) GN=folC PE=1 SV=2,folC,500,341
P0A6C5,49146.47652,Amino-acid acetyltransferase OS=Escherichia coli (strain K12) GN=argA PE=1 SV=1,argA,28,250
Q57261,39049.19045,tRNA pseudouridine synthase D OS=Escherichia coli (strain K12) GN=truD PE=1 SV=1,truD,342,268
P0A6I3,36319.00734,Pantothenate kinase OS=Escherichia coli (strain K12) GN=coaA PE=1 SV=1,coaA,437,278
P0AG82,36983.0841,Phosphate-binding protein pstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1,pstS,224,262
P0ACQ4,34235.73131,Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1,oxyR,303,266
P22333,36356.7357,Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2,add,2127,262
P0ACY3,74415.57277,Uncharacterized protein yeaG OS=Escherichia coli (strain K12) GN=yeaG PE=3 SV=1,yeaG,11,58
P30871,48340.9311,Uncharacterized protein ygiF OS=Escherichia coli (strain K12) GN=ygiF PE=4 SV=1,ygiF,237,178
P0AE12,53943.36241,AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1,amn,119,147
P0A964,18054.53266,Chemotaxis protein CheW OS=Escherichia coli (strain K12) GN=cheW PE=1 SV=1,cheW,15537,12248
P0ABZ1,36735.21149,Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1,fliG,1734,1111
P05458,107622.6732,Protease 3 OS=Escherichia coli (strain K12) GN=ptrA PE=1 SV=1,ptrA,64,73
P03004,52500.23299,Chromosomal replication initiator protein dnaA OS=Escherichia coli (strain K12) GN=dnaA PE=1 SV=2,dnaA,128,83
P28904,63779.12148,Trehalose-6-phosphate hydrolase OS=Escherichia coli (strain K12) GN=treC PE=3 SV=3,treC,543,22
P77581,43619.9979,Succinylornithine transaminase OS=Escherichia coli (strain K12) GN=astC PE=1 SV=1,astC,130,16
P13033,45310.44439,Anaerobic glycerol-3-phosphate dehydrogenase subunit B OS=Escherichia coli (strain K12) GN=glpB PE=1 SV=1,glpB,1238,62
P52612,49266.90877,Flagellum-specific ATP synthase OS=Escherichia coli (strain K12) GN=fliI PE=3 SV=2,fliI,125,65
P60624,11291.29914,50S ribosomal protein L24 OS=Escherichia coli (strain K12) GN=rplX PE=1 SV=2,rplX,108074,54811
P0A7R5,11710.39634,30S ribosomal protein S10 OS=Escherichia coli (strain K12) GN=rpsJ PE=1 SV=1,rpsJ,85250,41690
P0A9K9,20821.68491,FKBP-type peptidyl-prolyl cis-trans isomerase slyD OS=Escherichia coli (strain K12) GN=slyD PE=1 SV=1,slyD,36366,24110
P60723,22054.85068,50S ribosomal protein L4 OS=Escherichia coli (strain K12) GN=rplD PE=1 SV=1,rplD,44865,19216
P68919,10668.70954,50S ribosomal protein L25 OS=Escherichia coli (strain K12) GN=rplY PE=1 SV=1,rplY,38254,22536
P0A912,18794.22893,Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1,pal,23066,21360
P30860,26794.65139,ABC transporter arginine-binding protein 1 OS=Escherichia coli (strain K12) GN=artJ PE=1 SV=2,artJ,909,8938
P0A8E7,18314.5428,UPF0234 protein yajQ OS=Escherichia coli (strain K12) GN=yajQ PE=1 SV=2,yajQ,8249,7525
P0ABA4,19301.95116,ATP synthase subunit delta OS=Escherichia coli (strain K12) GN=atpH PE=1 SV=1,atpH,8153,5299
P0ACG1,15319.95488,DNA-binding protein stpA OS=Escherichia coli (strain K12) GN=stpA PE=3 SV=1,stpA,2701,11813
P0A805,20607.85322,Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1,frr,7015,4527
P0A8P3,10927.41601,Probable Fe(2+)-trafficking protein OS=Escherichia coli (strain K12) GN=yggX PE=1 SV=2,yggX,5772,4877
P0ADW3,14933.50295,Putative cytochrome d ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=yhcB PE=1 SV=2,yhcB,5366,4451
P0AEG4,23071.69653,Thiol:disulfide interchange protein DsbA OS=Escherichia coli (strain K12) GN=dsbA PE=1 SV=1,dsbA,3769,3799
P09551,27956.24088,Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3,argT,914,3085
P0A6W5,17612.06622,Transcription elongation factor greA OS=Escherichia coli (strain K12) GN=greA PE=1 SV=1,greA,5523,3059
P0AB80,34054.10848,Branched-chain-amino-acid aminotransferase OS=Escherichia coli (strain K12) GN=ilvE PE=1 SV=2,ilvE,794,2202
P69407,23637.75191,Capsular synthesis regulator component B OS=Escherichia coli (strain K12) GN=rcsB PE=1 SV=1,rcsB,2623,1972
P0AEZ9,18635.49217,Molybdenum cofactor biosynthesis protein B OS=Escherichia coli (strain K12) GN=moaB PE=1 SV=2,moaB,1691,1782
P06986,39317.28634,Histidinol-phosphate aminotransferase OS=Escherichia coli (strain K12) GN=hisC PE=1 SV=2,hisC,123,1387
P0A991,38067.15999,Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2,fbaB,389,701
P0A7Z0,22827.97901,Ribose-5-phosphate isomerase A OS=Escherichia coli (strain K12) GN=rpiA PE=1 SV=1,rpiA,1565,1333
P24186,31006.32562,Bifunctional protein FolD OS=Escherichia coli (strain K12) GN=folD PE=1 SV=4,folD,961,1639
P0A7F6,30347.05278,S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=speD PE=1 SV=1,speD,1380,1480
P77211,50220.61396,Cation efflux system protein CusC OS=Escherichia coli (strain K12) GN=cusC PE=1 SV=1,cusC,249,1295
P11446,35911.41235,N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) GN=argC PE=3 SV=1,argC,89,1352
P0A9M2,20084.39054,Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1,hpt,2602,1232
P0ADG4,29135.97683,Inositol-1-monophosphatase OS=Escherichia coli (strain K12) GN=suhB PE=1 SV=1,suhB,2062,1208
P0ADV7,23929.47447,Probable phospholipid-binding protein mlaC OS=Escherichia coli (strain K12) GN=mlaC PE=1 SV=1,mlaC,1702,1306
P17993,26520.48429,3-demethylubiquinone-9 3-methyltransferase OS=Escherichia coli (strain K12) GN=ubiG PE=1 SV=1,ubiG,1364,1039
P0AF28,23893.68135,Nitrate/nitrite response regulator protein narL OS=Escherichia coli (strain K12) GN=narL PE=1 SV=1,narL,1226,788
P04425,35520.25741,Glutathione synthetase OS=Escherichia coli (strain K12) GN=gshB PE=1 SV=1,gshB,1006,987
P64604,19546.14199,Probable phospholipid ABC transporter-binding protein mlaD OS=Escherichia coli (strain K12) GN=mlaD PE=1 SV=1,mlaD,1462,854
P00909,49312.34103,Tryptophan biosynthesis protein trpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3,trpC,46,620
P0AFD1,18560.16361,NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) GN=nuoE PE=1 SV=1,nuoE,4338,932
P30750,37746.71445,Methionine import ATP-binding protein MetN OS=Escherichia coli (strain K12) GN=metN PE=1 SV=4,metN,373,962
P08622,41056.47202,Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3,dnaJ,1461,748
P29217,24144.21298,UPF0502 protein yceH OS=Escherichia coli (strain K12) GN=yceH PE=1 SV=3,yceH,654,637
P31142,30774.59912,3-mercaptopyruvate sulfurtransferase OS=Escherichia coli (strain K12) GN=sseA PE=1 SV=3,sseA,1959,242
P23882,34128.84631,Methionyl-tRNA formyltransferase OS=Escherichia coli (strain K12) GN=fmt PE=1 SV=4,fmt,996,586
P04951,27579.08508,3-deoxy-manno-octulosonate cytidylyltransferase OS=Escherichia coli (strain K12) GN=kdsB PE=1 SV=2,kdsB,823,663
P0ACA7,23680.16535,Uncharacterized GST-like protein yliJ OS=Escherichia coli (strain K12) GN=yliJ PE=1 SV=1,yliJ,287,536
P05194,27431.21147,3-dehydroquinate dehydratase OS=Escherichia coli (strain K12) GN=aroD PE=1 SV=2,aroD,204,484
P37747,42920.75887,UDP-galactopyranose mutase OS=Escherichia coli (strain K12) GN=glf PE=1 SV=1,glf,828,522
P12008,39094.99499,Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4,aroC,275,669
P36767,33953.48385,Recombination-associated protein rdgC OS=Escherichia coli (strain K12) GN=rdgC PE=1 SV=1,rdgC,615,478
P0A8Y5,29684.23219,Phosphatase YidA OS=Escherichia coli (strain K12) GN=yidA PE=1 SV=1,yidA,570,539
P63177,26521.8074,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB OS=Escherichia coli (strain K12) GN=rlmB PE=1 SV=1,rlmB,532,381
P0ACB2,35583.87097,Delta-aminolevulinic acid dehydratase OS=Escherichia coli (strain K12) GN=hemB PE=1 SV=2,hemB,896,470
P76536,33013.46217,Uncharacterized protein yfeX OS=Escherichia coli (strain K12) GN=yfeX PE=3 SV=2,yfeX,878,439
P39172,33738.19213,High-affinity zinc uptake system protein znuA OS=Escherichia coli (strain K12) GN=znuA PE=1 SV=4,znuA,391,372
P0A6T3,41397.83668,Galactokinase OS=Escherichia coli (strain K12) GN=galK PE=1 SV=2,galK,1821,423
P67087,31310.56676,Ribosomal RNA small subunit methyltransferase I OS=Escherichia coli (strain K12) GN=rsmI PE=1 SV=1,rsmI,467,415
P77247,24296.69318,Phosphatase YniC OS=Escherichia coli (strain K12) GN=yniC PE=1 SV=1,yniC,546,393
P0A7J0,23320.5293,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli (strain K12) GN=ribB PE=1 SV=1",ribB,1589,582
P61320,23517.96895,Outer-membrane lipoprotein lolB OS=Escherichia coli (strain K12) GN=lolB PE=1 SV=1,lolB,264,270
P0AF18,40905.11211,N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli (strain K12) GN=nagA PE=1 SV=1,nagA,616,266
P24255,53938.38989,RNA polymerase sigma-54 factor OS=Escherichia coli (strain K12) GN=rpoN PE=3 SV=2,rpoN,331,252
P0A9J6,32252.84507,Ribokinase OS=Escherichia coli (strain K12) GN=rbsK PE=1 SV=1,rbsK,606,96
P0A9J0,55311.45087,Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2,rng,149,189
P36929,48299.01648,Ribosomal RNA small subunit methyltransferase B OS=Escherichia coli (strain K12) GN=rsmB PE=1 SV=2,rsmB,453,179
P60752,64401.5979,Lipid A export ATP-binding/permease protein MsbA OS=Escherichia coli (strain K12) GN=msbA PE=1 SV=1,msbA,228,83
P60340,35047.11747,tRNA pseudouridine synthase B OS=Escherichia coli (strain K12) GN=truB PE=1 SV=1,truB,289,131
P0A7I0,40474.19405,Peptide chain release factor 1 OS=Escherichia coli (strain K12) GN=prfA PE=1 SV=1,prfA,474,158
P24232,43822.01281,Flavohemoprotein OS=Escherichia coli (strain K12) GN=hmp PE=1 SV=1,hmp,245,92
P14081,68806.64349,Selenocysteine-specific elongation factor OS=Escherichia coli (strain K12) GN=selB PE=1 SV=3,selB,57,77
P0A8G3,53934.61332,Uronate isomerase OS=Escherichia coli (strain K12) GN=uxaC PE=3 SV=1,uxaC,166,73
P76010,27821.75801,Flagellar brake protein YcgR OS=Escherichia coli (strain K12) GN=ycgR PE=1 SV=1,ycgR,1034,734
P52647,128725.189,Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2,ydbK,97,38
P0ABF1,53819.05532,Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2,pcnB,53,47
P77737,37155.62253,Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1,oppF,82,263
P05719,51345.41367,Type-1 restriction enzyme EcoKI specificity protein OS=Escherichia coli (strain K12) GN=hsdS PE=1 SV=1,hsdS,76,53
P61175,12200.75881,50S ribosomal protein L22 OS=Escherichia coli (strain K12) GN=rplV PE=1 SV=1,rplV,116027,53035
P0A917,18572.91003,Outer membrane protein X OS=Escherichia coli (strain K12) GN=ompX PE=1 SV=1,ompX,24241,20497
P0AG44,14337.64689,50S ribosomal protein L17 OS=Escherichia coli (strain K12) GN=rplQ PE=1 SV=1,rplQ,40711,18703
P0A905,15574.05822,Outer membrane lipoprotein slyB OS=Escherichia coli (strain K12) GN=slyB PE=2 SV=1,slyB,19205,13062
P0A6E6,15040.73788,ATP synthase epsilon chain OS=Escherichia coli (strain K12) GN=atpC PE=1 SV=2,atpC,14575,8898
P0AFH8,21042.86046,Osmotically-inducible protein Y OS=Escherichia coli (strain K12) GN=osmY PE=1 SV=1,osmY,1383,2602
P0A6C8,27124.47333,Acetylglutamate kinase OS=Escherichia coli (strain K12) GN=argB PE=1 SV=1,argB,77,5283
P06988,46063.61695,Histidinol dehydrogenase OS=Escherichia coli (strain K12) GN=hisD PE=1 SV=5,hisD,617,2941
P0AAX8,33286.1605,"Probable L,D-transpeptidase YbiS OS=Escherichia coli (strain K12) GN=ybiS PE=1 SV=1",ybiS,2494,3433
P0A8G6,20814.41143,Flavoprotein wrbA OS=Escherichia coli (strain K12) GN=wrbA PE=1 SV=2,wrbA,497,746
P63020,20966.31212,Fe/S biogenesis protein nfuA OS=Escherichia coli (strain K12) GN=nfuA PE=1 SV=1,nfuA,5620,3381
P0A6N8,21500.97054,Elongation factor P-like protein OS=Escherichia coli (strain K12) GN=yeiP PE=1 SV=1,yeiP,4182,3227
P07623,35686.96076,Homoserine O-succinyltransferase OS=Escherichia coli (strain K12) GN=metA PE=1 SV=4,metA,200,2117
P0AFL3,20400.38325,Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) GN=ppiA PE=1 SV=1,ppiA,1965,1566
P10371,25998.573,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Escherichia coli (strain K12) GN=hisA PE=1 SV=2,hisA,409,1674
P0A8X2,20881.61917,Protein yceI OS=Escherichia coli (strain K12) GN=yceI PE=1 SV=1,yceI,535,1375
P08178,36812.62949,Phosphoribosylformylglycinamidine cyclo-ligase OS=Escherichia coli (strain K12) GN=purM PE=1 SV=3,purM,191,2001
P04846,29387.44815,Lipoprotein 28 OS=Escherichia coli (strain K12) GN=nlpA PE=1 SV=1,nlpA,139,1568
P45955,28196.1354,Uncharacterized protein YbgF OS=Escherichia coli (strain K12) GN=ybgF PE=1 SV=2,ybgF,2079,1779
P62768,15068.91436,UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1,yaeH,1416,1165
P31133,40795.98173,Putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potF PE=1 SV=3,potF,247,1372
P0A9V1,26766.07681,Lipopolysaccharide export system ATP-binding protein LptB OS=Escherichia coli (strain K12) GN=lptB PE=1 SV=2,lptB,1957,1407
P60664,28418.56168,Imidazole glycerol phosphate synthase subunit hisF OS=Escherichia coli (strain K12) GN=hisF PE=1 SV=1,hisF,249,1303
P00894,17947.67665,Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3,ilvH,112,1338
P0AA43,25831.22795,Ribosomal small subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rsuA PE=1 SV=1,rsuA,1141,1199
P30178,38854.31329,Uncharacterized oxidoreductase ybiC OS=Escherichia coli (strain K12) GN=ybiC PE=1 SV=2,ybiC,222,1058
P0ABU5,22948.79863,Enhancing lycopene biosynthesis protein 2 OS=Escherichia coli (strain K12) GN=elbB PE=1 SV=1,elbB,2631,1256
P0AGJ5,37743.03444,Uncharacterized tRNA/rRNA methyltransferase YfiF OS=Escherichia coli (strain K12) GN=yfiF PE=3 SV=1,yfiF,1181,866
P0ADS6,26600.77371,Uncharacterized protein yggE OS=Escherichia coli (strain K12) GN=yggE PE=4 SV=1,yggE,844,655
P0A6K3,19298.2689,Peptide deformylase OS=Escherichia coli (strain K12) GN=def PE=1 SV=2,def,1855,839
P0AG78,36618.84053,Sulfate-binding protein OS=Escherichia coli (strain K12) GN=sbp PE=1 SV=1,sbp,59,638
P0ACZ8,25360.46757,Transcriptional regulatory protein CusR OS=Escherichia coli (strain K12) GN=cusR PE=1 SV=1,cusR,62,600
P0A6L9,20107.15818,Co-chaperone protein hscB OS=Escherichia coli (strain K12) GN=hscB PE=1 SV=1,hscB,941,609
P00861,46130.41262,Diaminopimelate decarboxylase OS=Escherichia coli (strain K12) GN=lysA PE=1 SV=1,lysA,53,901
P06999,32417.84255,6-phosphofructokinase isozyme 2 OS=Escherichia coli (strain K12) GN=pfkB PE=1 SV=2,pfkB,100,98
P0ACB7,45198.8272,Protein hemY OS=Escherichia coli (strain K12) GN=hemY PE=1 SV=1,hemY,259,522
P0A7X6,20574.28939,Ribosome maturation factor rimM OS=Escherichia coli (strain K12) GN=rimM PE=1 SV=1,rimM,1343,634
P30177,35008.05566,Uncharacterized protein ybiB OS=Escherichia coli (strain K12) GN=ybiB PE=3 SV=1,ybiB,630,658
P25745,40915.58427,tRNA-specific 2-thiouridylase mnmA OS=Escherichia coli (strain K12) GN=mnmA PE=1 SV=4,mnmA,753,589
P0A8E1,21194.6877,UPF0227 protein ycfP OS=Escherichia coli (strain K12) GN=ycfP PE=3 SV=1,ycfP,719,589
P00547,33583.89194,Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2,thrB,246,844
P0A8I3,29549.3024,UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1,yaaA,772,613
P0A794,26349.544,Pyridoxine 5'-phosphate synthase OS=Escherichia coli (strain K12) GN=pdxJ PE=1 SV=2,pdxJ,918,601
P25714,61468.37581,Inner membrane protein oxaA OS=Escherichia coli (strain K12) GN=oxaA PE=1 SV=2,oxaA,1057,504
P0ADT5,44979.1626,Uncharacterized protein ygiC OS=Escherichia coli (strain K12) GN=ygiC PE=4 SV=1,ygiC,428,271
P77499,27547.12225,Probable ATP-dependent transporter SufC OS=Escherichia coli (strain K12) GN=sufC PE=1 SV=1,sufC,127,289
P12996,38605.23075,Biotin synthase OS=Escherichia coli (strain K12) GN=bioB PE=1 SV=2,bioB,111,346
P22524,26939.5778,Chromosome partition protein mukE OS=Escherichia coli (strain K12) GN=mukE PE=1 SV=5,mukE,723,442
P07862,32800.79555,D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3,ddlB,543,373
P37329,27329.30548,Molybdate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=modA PE=1 SV=1,modA,1395,638
P10384,48493.51804,Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5,fadL,1810,350
P0AG93,35341.59237,Protein-export membrane protein secF OS=Escherichia coli (strain K12) GN=secF PE=1 SV=1,secF,532,259
P0A7A2,24032.25041,Probable phosphoglycerate mutase gpmB OS=Escherichia coli (strain K12) GN=gpmB PE=1 SV=1,gpmB,463,322
P37349,51398.26995,"PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM OS=Escherichia coli (strain K12) GN=dhaM PE=1 SV=3",dhaM,227,238
P17117,26765.85039,Oxygen-insensitive NADPH nitroreductase OS=Escherichia coli (strain K12) GN=nfsA PE=1 SV=2,nfsA,743,285
P37634,31903.75488,Uncharacterized protein yhiR OS=Escherichia coli (strain K12) GN=yhiR PE=1 SV=1,yhiR,451,276
P75876,44310.82805,Ribosomal RNA large subunit methyltransferase I OS=Escherichia coli (strain K12) GN=rlmI PE=1 SV=2,rlmI,450,300
P0ADI4,32515.26281,Isochorismatase OS=Escherichia coli (strain K12) GN=entB PE=1 SV=1,entB,65,207
P77735,36379.51751,Uncharacterized oxidoreductase YajO OS=Escherichia coli (strain K12) GN=yajO PE=3 SV=2,yajO,135,91
P37313,37518.44931,Dipeptide transport ATP-binding protein DppF OS=Escherichia coli (strain K12) GN=dppF PE=3 SV=1,dppF,164,392
P0A6C1,31441.66786,Endonuclease 4 OS=Escherichia coli (strain K12) GN=nfo PE=1 SV=1,nfo,338,213
P0A8F4,24319.5763,Uridine kinase OS=Escherichia coli (strain K12) GN=udk PE=3 SV=1,udk,383,236
P0A6V1,48648.4803,Glucose-1-phosphate adenylyltransferase OS=Escherichia coli (strain K12) GN=glgC PE=1 SV=2,glgC,126,168
P05852,35967.52524,Probable O-sialoglycoprotein endopeptidase OS=Escherichia coli (strain K12) GN=gcp PE=3 SV=2,gcp,335,188
P0A9C9,35811.62041,"Fructose-1,6-bisphosphatase 1 class 2 OS=Escherichia coli (strain K12) GN=glpX PE=1 SV=1",glpX,505,188
P13445,37930.72627,RNA polymerase sigma factor rpoS OS=Escherichia coli (strain K12) GN=rpoS PE=3 SV=3,rpoS,995,166
P37626,38786.71563,Uncharacterized protein yhiI OS=Escherichia coli (strain K12) GN=yhiI PE=4 SV=1,yhiI,334,180
P0A9S7,28390.87056,High-affinity branched-chain amino acid transport ATP-binding protein LivG OS=Escherichia coli (strain K12) GN=livG PE=3 SV=1,livG,12,194
P13024,34706.33649,Protein FdhE OS=Escherichia coli (strain K12) GN=fdhE PE=3 SV=2,fdhE,504,137
P33030,36072.87079,Uncharacterized protein YeiR OS=Escherichia coli (strain K12) GN=yeiR PE=3 SV=2,yeiR,204,96
P0A6U3,69459.73837,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG OS=Escherichia coli (strain K12) GN=mnmG PE=1 SV=1,mnmG,167,107
P20083,70181.74399,DNA topoisomerase 4 subunit B OS=Escherichia coli (strain K12) GN=parE PE=1 SV=3,parE,178,62
P60293,50529.6168,Chromosome partition protein mukF OS=Escherichia coli (strain K12) GN=mukF PE=1 SV=1,mukF,131,59
P39401,85422.54757,Phosphoglycerol transferase I OS=Escherichia coli (strain K12) GN=mdoB PE=3 SV=2,mdoB,107,62
P0A8F8,76160.43622,UvrABC system protein B OS=Escherichia coli (strain K12) GN=uvrB PE=1 SV=2,uvrB,50,42
P75937,42001.46398,Flagellar hook protein flgE OS=Escherichia coli (strain K12) GN=flgE PE=1 SV=3,flgE,1935,841
P77611,80103.92128,Electron transport complex protein rnfC OS=Escherichia coli (strain K12) GN=rnfC PE=3 SV=1,rnfC,82,46
P62558,35332.51533,Protein sopB OS=Escherichia coli (strain K12) GN=sopB PE=1 SV=1,sopB,52,52
P0AEM6,27486.2642,RNA polymerase sigma factor for flagellar operon OS=Escherichia coli (strain K12) GN=fliA PE=3 SV=1,fliA,1400,1084
P0A7E3,23534.17999,Orotate phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=pyrE PE=1 SV=2,pyrE,49,38
P07604,57601.71114,Transcriptional regulatory protein tyrR OS=Escherichia coli (strain K12) GN=tyrR PE=1 SV=2,tyrR,51,30
P0AEC3,87909.64099,Aerobic respiration control sensor protein ArcB OS=Escherichia coli (strain K12) GN=arcB PE=1 SV=1,arcB,73,40
P02918,93559.40765,Penicillin-binding protein 1A OS=Escherichia coli (strain K12) GN=mrcA PE=1 SV=1,mrcA,25,14
P43329,148917.1694,ATP-dependent RNA helicase hrpA OS=Escherichia coli (strain K12) GN=hrpA PE=3 SV=3,hrpA,22,12
P0AAG8,56361.45375,Galactose/methyl galactoside import ATP-binding protein MglA OS=Escherichia coli (strain K12) GN=mglA PE=1 SV=1,mglA,124,8
P0AA10,15990.53156,50S ribosomal protein L13 OS=Escherichia coli (strain K12) GN=rplM PE=1 SV=1,rplM,53284,29578
P0A862,17806.20497,Thiol peroxidase OS=Escherichia coli (strain K12) GN=tpx PE=1 SV=2,tpx,32211,29900
P0A763,15435.78265,Nucleoside diphosphate kinase OS=Escherichia coli (strain K12) GN=ndk PE=1 SV=2,ndk,15546,10560
P0A7M2,8982.86292,50S ribosomal protein L28 OS=Escherichia coli (strain K12) GN=rpmB PE=1 SV=2,rpmB,14118,8486
P61714,16128.57221,"6,7-dimethyl-8-ribityllumazine synthase OS=Escherichia coli (strain K12) GN=ribH PE=1 SV=1",ribH,10851,9339
P0ABA0,17235.28982,ATP synthase subunit b OS=Escherichia coli (strain K12) GN=atpF PE=1 SV=1,atpF,10726,7005
P0AGK8,17307.89682,HTH-type transcriptional regulator iscR OS=Escherichia coli (strain K12) GN=iscR PE=1 SV=1,iscR,7446,5468
P69828,16878.77273,Galactitol-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=gatA PE=4 SV=1,gatA,12277,4952
P0A7K6,13107.18035,50S ribosomal protein L19 OS=Escherichia coli (strain K12) GN=rplS PE=1 SV=2,rplS,12402,5982
P30126,22455.24259,3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3,leuD,205,6487
P61517,25062.79563,Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1,can,2867,5015
P0A6Y1,10626.51305,Integration host factor subunit beta OS=Escherichia coli (strain K12) GN=ihfB PE=1 SV=1,ihfB,3379,3162
P0AAI9,32378.37752,Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2,fabD,5551,2891
