Uniprot Accession,Description,Gene,Peptides.used.for.quantitation,Confidence.score,Molecular weight (Da),Dataset,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
P0AFG0,Transcription antitermination protein nusG OS=Escherichia coli (strain K12) GN=nusG PE=1 SV=2,nusG,14,989.08,20500.46283,2,3934,6938,4984,2575,2888,3464,2964,3187,2840,2431,2255,1717,2048,1909,3523,4145,4072,3689,3473,2408,3223,3673
P00579,RNA polymerase sigma factor rpoD OS=Escherichia coli (strain K12) GN=rpoD PE=1 SV=2,rpoD,14,805.15,70201.22445,2,648,1657,975,435,602,622,591,602,737,557,494,519,461,457,546,947,718,696,498,372,564,608
P07012,Peptide chain release factor 2 OS=Escherichia coli (strain K12) GN=prfB PE=1 SV=3,prfB,14,885.4,41207.29926,2,1682,2892,2808,1143,1278,1354,1363,1115,1368,1123,885,680,800,889,1864,1729,1815,1776,1323,941,1256,1572
P0ABU2,GTP-dependent nucleic acid-binding protein engD OS=Escherichia coli (strain K12) GN=engD PE=1 SV=2,ychF,14,830.86,39624.25951,2,2762,4454,4763,915,1573,1837,2133,1685,1753,1258,1065,720,632,564,1892,2222,1801,2000,1667,1054,1653,2112
P0A6R0,3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Escherichia coli (strain K12) GN=fabH PE=1 SV=1,fabH,14,940.88,33475.97062,2,2120,3559,3122,1481,1677,1780,1894,1952,1454,1377,1244,1097,872,779,1507,1643,2094,1643,1374,1165,1219,1579
P77718,tRNA sulfurtransferase OS=Escherichia coli (strain K12) GN=thiI PE=1 SV=1,thiI,14,803.62,54920.70831,2,198,537,278,83,106,156,118,104,216,131,117,75,60,48,146,250,160,196,148,81,142,269
P0A9C3,Aldose 1-epimerase OS=Escherichia coli (strain K12) GN=galM PE=1 SV=1,galM,14,986.82,38148.75888,2,1240,2363,2130,1130,1243,1424,1459,1068,1167,1110,1001,837,816,783,1797,2684,1415,1355,1388,3098,1265,1279
P62707,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmA PE=1 SV=2",gpmA,14,994.9,28520.74385,2,12056,17793,15522,10381,10626,12452,10895,9316,8972,8719,8277,7994,13828,14928,20937,16501,23776,14826,10334,9065,9527,11013
P0AF96,Uncharacterized protein yjgK OS=Escherichia coli (strain K12) GN=yjgK PE=1 SV=1,tabA,14,865.89,16836.60419,2,15854,12656,16607,17332,14192,13421,16864,11933,16590,15400,14748,10361,7716,8000,17347,16795,22276,19024,16832,11323,14352,17078
P0A6L0,Deoxyribose-phosphate aldolase OS=Escherichia coli (strain K12) GN=deoC PE=1 SV=1,deoC,14,1067.44,27698.32324,2,1162,7170,1292,855,822,1085,837,781,886,799,809,894,3582,3142,2263,2024,2753,1457,907,873,703,921
P0A7D7,Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Escherichia coli (strain K12) GN=purC PE=1 SV=1,purC,14,1044.81,26959.72675,2,8188,1498,7667,4918,6718,7162,7056,8675,6902,4804,3610,2828,5028,4964,11080,8893,13138,9074,6301,4692,6454,7297
P25524,Cytosine deaminase OS=Escherichia coli (strain K12) GN=codA PE=1 SV=3,codA,14,1354.11,47543.17582,2,3065,691,1068,1422,2948,2286,2921,2208,2811,1638,1098,844,833,907,1827,2048,2052,2173,2034,1482,3621,2963
P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive OS=Escherichia coli (strain K12) GN=aroF PE=1 SV=1",aroF,14,1212.09,38761.41858,2,2076,454,411,1423,1042,1096,1980,4245,1231,678,459,354,124,83,633,159,465,327,1035,1114,1289,3377
P27248,Aminomethyltransferase OS=Escherichia coli (strain K12) GN=gcvT PE=1 SV=3,gcvT,14,884.86,40103.1916,2,662,2199,2091,251,426,563,492,304,405,200,170,135,264,245,462,580,561,395,374,255,420,563
P0A877,Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) GN=trpA PE=1 SV=1,trpA,14,879.27,28688.02998,2,4387,1705,1516,2383,2537,3346,3797,3399,3625,2960,2350,1823,1129,1082,3857,4067,3007,3178,2699,2617,2359,3863
P0A6F1,Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1,carA,14,1420.06,41387.12046,2,9256,792,722,2961,4954,4691,5822,3994,4855,2682,1858,1499,3104,2625,5838,8529,7222,5980,4198,3449,5537,7524
P04816,Leucine-specific-binding protein OS=Escherichia coli (strain K12) GN=livK PE=1 SV=2,livK,14,890.76,39335.87005,2,2647,391,991,1108,2514,2701,2329,1837,2334,2206,1791,1214,771,1069,2447,2770,1882,1874,1967,1698,2396,2313
P0ADF6,Phosphogluconate dehydratase OS=Escherichia coli (strain K12) GN=edd PE=2 SV=1,edd,14,977.14,64579.78427,1,81,109,NA,31,46,1988,42,35,35,39,31,22,63,33,69,74,63,NA,NA,25,26,NA
P0ABH0,Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1,ftsA,14,672.86,45283.45163,2,572,792,734,579,526,445,543,540,603,518,449,402,198,222,501,780,618,634,488,389,449,564
P0A9C0,Anaerobic glycerol-3-phosphate dehydrogenase subunit A OS=Escherichia coli (strain K12) GN=glpA PE=1 SV=1,glpA,14,681.29,58903.37347,2,14,463,471,15,16,16,476,19,29,17,20,10,36,30,55,24,22,38,16,23,16,11
P08957,Type I restriction enzyme EcoKI M protein OS=Escherichia coli (strain K12) GN=hsdM PE=1 SV=1,hsdM,13,1011.42,59251.50285,2,346,768,497,105,201,216,226,197,184,129,96,80,58,92,180,382,192,241,171,122,224,276
P10121,Cell division protein ftsY OS=Escherichia coli (strain K12) GN=ftsY PE=1 SV=1,ftsY,13,856.81,54461.90734,2,1149,1803,1567,690,787,925,898,879,845,904,686,719,538,647,1250,1037,992,875,919,670,723,889
P11557,Protein damX OS=Escherichia coli (strain K12) GN=damX PE=1 SV=2,damX,13,790,46116.34117,2,911,1194,1091,531,638,773,658,618,602,519,475,488,873,615,1353,1387,1236,803,617,627,553,712
P0A8M6,UPF0265 protein yeeX OS=Escherichia coli (strain K12) GN=yeeX PE=3 SV=1,yeeX,13,1046.5,12751.74436,2,20277,15122,17534,10290,10542,15053,16560,9829,15333,11557,10540,9878,9538,10559,20902,21871,18046,25008,16261,12231,10770,25654
P23839,UPF0701 protein yicC OS=Escherichia coli (strain K12) GN=yicC PE=1 SV=2,yicC,13,681.74,33136.27252,2,710,963,853,635,781,656,750,783,748,634,586,571,444,419,695,754,824,718,593,686,733,769
P0A9U3,Uncharacterized ABC transporter ATP-binding protein YbiT OS=Escherichia coli (strain K12) GN=ybiT PE=1 SV=1,ybiT,13,648.53,59802.32729,2,343,737,381,137,182,206,206,161,196,159,124,96,96,100,174,227,169,227,205,127,193,285
P0A8E1,UPF0227 protein ycfP OS=Escherichia coli (strain K12) GN=ycfP PE=3 SV=1,ycfP,13,541.76,21194.6877,2,793,965,793,733,749,757,808,688,753,726,694,699,453,388,1226,1244,1617,899,843,912,757,765
P0A6P5,GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1,der,13,689.91,54983.4506,2,267,369,289,182,161,182,168,193,349,264,234,196,82,77,114,183,206,188,163,121,122,232
P0ADV7,Probable phospholipid-binding protein mlaC OS=Escherichia coli (strain K12) GN=mlaC PE=1 SV=1,mlaC,13,552.74,23929.47447,2,1567,2178,2248,801,1303,1680,1550,1325,1024,1031,984,870,1163,1011,1767,1791,1753,1399,1421,1539,1353,1391
P00448,Superoxide dismutase [Mn] OS=Escherichia coli (strain K12) GN=sodA PE=1 SV=2,sodA,13,839.37,23064.63928,2,21660,27082,33717,24614,30246,24695,25317,22602,23528,20650,17327,15728,18208,18771,33132,19632,31614,26720,30605,25701,28643,28499
P08622,Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3,dnaJ,13,623.88,41056.47202,2,688,2011,1493,494,756,720,742,589,667,582,451,366,651,475,664,1798,842,773,589,426,598,605
P0ABC3,Modulator of FtsH protease HflC OS=Escherichia coli (strain K12) GN=hflC PE=1 SV=1,hflC,13,853.85,37608.49134,2,1290,2128,1473,725,1131,896,1410,1191,991,833,682,593,692,635,1068,1248,988,1312,1228,859,1046,1399
P76403,Uncharacterized protease yegQ OS=Escherichia coli (strain K12) GN=yegQ PE=3 SV=1,yegQ,13,605.28,51142.48352,2,265,684,273,169,175,198,169,120,220,166,122,119,35,40,206,383,239,252,150,82,193,229
P09147,UDP-glucose 4-epimerase OS=Escherichia coli (strain K12) GN=galE PE=1 SV=1,galE,13,890.85,37223.63088,2,621,1752,1436,526,632,773,606,649,547,643,549,451,325,289,615,438,384,523,748,5287,610,628
P37747,UDP-galactopyranose mutase OS=Escherichia coli (strain K12) GN=glf PE=1 SV=1,glf,13,570.69,42920.75887,2,836,1590,1284,607,654,617,652,526,653,531,364,301,149,141,625,402,665,739,578,297,573,671
P77211,Cation efflux system protein CusC OS=Escherichia coli (strain K12) GN=cusC PE=1 SV=1,cusC,13,1003.52,50220.61396,2,1475,605,389,1188,1554,466,1834,982,830,744,547,511,425,250,467,986,1343,1252,1346,1398,1594,1827
P0A8F8,UvrABC system protein B OS=Escherichia coli (strain K12) GN=uvrB PE=1 SV=2,uvrB,13,697.37,76160.43622,2,134,158,128,113,122,131,141,112,135,134,150,156,145,133,162,191,173,184,153,150,134,119
P0ACQ4,Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1,oxyR,13,827.5,34235.73131,2,395,578,473,209,316,366,374,424,374,344,317,253,160,135,274,409,355,374,364,343,325,451
P0ACP7,HTH-type transcriptional repressor purR OS=Escherichia coli (strain K12) GN=purR PE=1 SV=2,purR,13,830.73,38132.24798,2,826,645,918,546,744,767,672,791,851,796,680,699,370,333,514,1060,671,780,583,519,729,756
P0A8N5,"Lysyl-tRNA synthetase, heat inducible OS=Escherichia coli (strain K12) GN=lysU PE=1 SV=2",lysU,13,1450.08,57772.14117,2,493,2372,696,267,338,381,394,274,434,328,284,267,331,291,329,728,512,479,334,251,297,414
P0AG55,50S ribosomal protein L6 OS=Escherichia coli (strain K12) GN=rplF PE=1 SV=2,rplF,13,868.08,18874.15082,2,18104,50099,33659,8547,13847,14031,16302,12044,15531,10364,8051,6966,7760,7676,15876,20363,16942,17521,13429,10067,14716,21401
P0A847,Queuine tRNA-ribosyltransferase OS=Escherichia coli (strain K12) GN=tgt PE=1 SV=1,tgt,13,848.99,42548.22854,2,846,1067,1361,369,478,383,480,352,369,243,186,206,221,216,452,681,656,480,375,261,508,524
P00954,Tryptophanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=trpS PE=1 SV=3,trpS,13,828.1,37396.06115,2,1818,2000,2251,925,1098,1139,1372,1221,1092,854,655,614,539,505,1254,2096,1871,1459,1166,823,1136,1550
P0AAI5,3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli (strain K12) GN=fabF PE=1 SV=2,fabF,13,1121.67,43000.55275,2,1917,4916,4766,1236,1825,1873,2138,1578,1890,1624,1399,1173,1430,1162,2361,2604,2091,2652,1909,1948,2196,2270
P0AEK2,3-oxoacyl-[acyl-carrier-protein] reductase OS=Escherichia coli (strain K12) GN=fabG PE=1 SV=1,fabG,13,906.71,25526.19579,2,4675,8991,7632,2521,3354,3515,3492,3347,2992,2481,1920,1747,1663,1530,3623,3236,3880,3833,3499,2531,4198,3911
P0A6T5,GTP cyclohydrolase 1 OS=Escherichia coli (strain K12) GN=folE PE=1 SV=2,folE,13,818.81,24796.90762,2,14176,1659,2574,2920,4856,5830,6842,5102,5775,3189,2087,1294,1026,1151,10153,6804,9821,10012,4257,3466,5244,8801
P30011,Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7,nadC,13,701.08,32723.94863,2,631,568,597,405,490,484,562,597,431,400,311,291,184,201,519,474,660,802,609,508,560,654
P0A6T3,Galactokinase OS=Escherichia coli (strain K12) GN=galK PE=1 SV=2,galK,13,861.04,41397.83668,2,369,1786,1355,520,610,795,591,517,529,589,551,442,275,221,486,511,278,432,777,4778,713,499
P0A6V8,Glucokinase OS=Escherichia coli (strain K12) GN=glk PE=1 SV=1,glk,13,908.61,34682.97956,2,497,610,1061,600,671,1044,975,623,1035,852,952,888,282,298,509,639,692,965,1002,1113,767,1525
P00946,Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=manA PE=1 SV=1,manA,13,667.04,42804.99234,2,914,2033,2091,901,905,846,887,850,913,767,656,556,434,538,1186,975,871,1070,748,467,817,846
P06999,6-phosphofructokinase isozyme 2 OS=Escherichia coli (strain K12) GN=pfkB PE=1 SV=2,pfkB,13,816.88,32417.84255,2,939,609,804,805,834,807,844,779,792,649,575,463,1151,1520,3358,2151,3045,1771,1544,1110,1157,1151
P76015,"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK OS=Escherichia coli (strain K12) GN=dhaK PE=1 SV=2",dhaK,13,772.17,38173.13622,2,754,945,2239,645,810,1229,2381,779,997,991,869,970,172,210,545,376,418,719,1081,801,678,642
P0A993,"Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1",fbp,13,852.29,36792.64622,2,944,3235,2204,1859,1664,1118,1085,2429,979,914,803,608,727,531,1415,1213,1172,1338,1214,968,1821,899
P0AAG8,Galactose/methyl galactoside import ATP-binding protein MglA OS=Escherichia coli (strain K12) GN=mglA PE=1 SV=1,mglA,13,780.52,56361.45375,2,25,336,225,115,236,203,170,211,360,483,388,390,24,21,23,43,19,86,331,533,249,122
P0AG80,sn-glycerol-3-phosphate-binding periplasmic protein ugpB OS=Escherichia coli (strain K12) GN=ugpB PE=1 SV=1,ugpB,13,717.41,48400.01535,2,113,180,202,163,309,203,173,192,211,327,423,550,284,323,173,144,173,80,213,310,162,99
P0A6D3,3-phosphoshikimate 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=aroA PE=1 SV=1,aroA,13,954.72,46048.45409,2,2056,658,1004,637,770,1282,1151,1018,799,552,445,370,744,648,2054,2107,2553,1633,827,866,911,1644
P06986,Histidinol-phosphate aminotransferase OS=Escherichia coli (strain K12) GN=hisC PE=1 SV=2,hisC,13,786.12,39317.28634,2,2203,340,3144,653,921,1246,1614,1008,1443,1089,1139,777,343,368,1423,2389,1741,1478,1350,1443,1096,1522
P06988,Histidinol dehydrogenase OS=Escherichia coli (strain K12) GN=hisD PE=1 SV=5,hisD,13,645.87,46063.61695,2,3447,778,4491,1065,1464,1722,2463,1731,1702,1430,1485,1086,905,893,2366,4165,2394,2106,1869,1383,1375,1970
P0AFK9,Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potD PE=1 SV=1,potD,13,750.53,38824.47978,2,3341,4165,5495,1690,3028,3056,2884,2447,2768,2411,2040,1446,1752,1797,3873,3186,2742,2455,2830,2065,3120,3044
P76108,Putative ABC transporter periplasmic-binding protein ydcS OS=Escherichia coli (strain K12) GN=ydcS PE=3 SV=1,ydcS,13,758.41,42250.08416,2,82,232,319,291,589,476,318,263,391,771,1004,1447,586,694,47,41,56,60,362,803,299,92
D9IX93,GsiB OS=Escherichia coli (strain K12) GN=gsiB PE=4 SV=1,gsiB,13,521.76,56416.73288,2,316,180,306,274,308,348,311,284,249,232,206,172,241,243,422,238,529,258,304,326,294,291
P0A9J8,P-protein OS=Escherichia coli (strain K12) GN=pheA PE=1 SV=1,pheA,13,1107.72,43066.38398,2,1584,677,1078,1075,1244,1518,1465,1131,2020,2617,3141,3370,274,312,690,1143,796,907,1510,2208,1395,1457
P30859,Putative ABC transporter arginine-binding protein 2 OS=Escherichia coli (strain K12) GN=artI PE=1 SV=3,artI,13,788.28,26894.72093,2,1927,2782,4874,2216,2748,2466,2528,2080,2547,2416,2150,1907,1686,2046,3138,1732,2442,1419,1955,1833,2140,1662
P00904,Anthranilate synthase component II OS=Escherichia coli (strain K12) GN=trpD PE=1 SV=3,trpG,13,762.63,56816.25068,2,1025,332,647,523,648,978,1101,992,1366,868,772,648,190,286,613,1426,682,671,821,634,605,1312
P30125,3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3,leuB,13,919.93,39474.00703,2,4588,593,751,7245,4458,4274,5032,2985,5455,6185,6294,6906,1444,1660,12223,6284,4683,6915,4282,7681,4403,5025
Q46851,Uncharacterized protein yghZ OS=Escherichia coli (strain K12) GN=yghZ PE=1 SV=1,gpr,13,695.77,38789.70115,2,167,395,234,830,605,378,333,564,520,628,618,795,343,309,136,196,163,235,476,578,569,255
P77674,Gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=prr PE=1 SV=1,prr,13,1244.43,50779.90527,2,313,773,731,514,2370,925,1263,1183,974,1728,2296,2505,265,237,628,316,210,303,1176,2035,1906,324
P26646,Putative quinone oxidoreductase YhdH OS=Escherichia coli (strain K12) GN=yhdH PE=1 SV=1,acuI,13,827.53,34683.88067,2,1097,1235,1530,1012,1376,1269,1390,1339,1076,1234,1251,1207,939,799,1238,1342,1425,1213,1391,1413,1150,1139
P0AEE1,Protein dcrB OS=Escherichia coli (strain K12) GN=dcrB PE=1 SV=1,dcrB,13,747.93,19757.12484,2,2176,3454,3437,1141,1567,1811,1779,1555,1286,1037,855,756,1400,1364,2219,1915,2408,1848,1428,1048,1350,1676
P64451,Uncharacterized lipoprotein ydcL OS=Escherichia coli (strain K12) GN=ydcL PE=4 SV=1,ydcL,13,742.81,24393.4873,2,1470,1284,1170,1316,2117,2365,2143,1298,1535,1951,2115,2398,2099,2385,1749,1393,2597,1281,1986,3127,1855,1487
P63224,Phosphoheptose isomerase OS=Escherichia coli (strain K12) GN=gmhA PE=1 SV=1,gmhA,13,813.54,20783.61786,2,3370,4725,5207,3258,4156,3949,3964,4650,4311,4118,3865,2995,1973,1882,3947,3594,3631,3903,4449,3195,3811,3766
P0ABQ0,Coenzyme A biosynthesis bifunctional protein CoaBC OS=Escherichia coli (strain K12) GN=coaBC PE=1 SV=2,coaB,13,800.3,43392.67021,2,252,596,342,223,227,345,246,429,451,395,343,418,80,176,198,363,247,267,227,184,184,283
P76372,Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2,wzzB,13,724.67,36414.16846,2,1637,2331,2368,842,1265,1391,1298,1108,1332,1039,854,801,1163,1293,1407,1674,1913,1564,1135,1068,1447,1553
P0AAC0,Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2,uspE,12,778.24,35666.29663,2,1445,1635,1110,1492,1465,1618,1651,1740,1503,1526,1777,1924,1925,1803,1632,1603,1901,1522,1669,1824,1049,1393
P0AA16,Transcriptional regulatory protein ompR OS=Escherichia coli (strain K12) GN=ompR PE=1 SV=1,ompR,12,639.67,27318.15933,2,828,1606,1338,703,1074,988,1058,1121,825,870,859,840,566,616,792,920,883,821,955,942,815,799
P0A9K3,PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2,ybeZ,12,744.03,38996.53281,2,734,1453,858,488,540,532,667,510,728,552,521,422,462,468,731,839,849,708,550,497,545,690
P0ADE6,Uncharacterized protein ygaU OS=Escherichia coli (strain K12) GN=ygaU PE=1 SV=2,ygaU,12,861.01,16035.27366,2,1857,1146,1410,3065,3350,4260,3045,2850,3994,4818,6192,9009,9069,8299,3755,4246,5882,2012,4160,6026,3049,3164
P0A8G6,Flavoprotein wrbA OS=Escherichia coli (strain K12) GN=wrbA PE=1 SV=2,wrbA,12,745.93,20814.41143,2,5306,3467,4130,8249,7343,7709,6744,4186,5988,7169,7173,6977,13406,13211,11745,8011,20628,6010,6449,8125,5794,5128
P25522,tRNA modification GTPase mnmE OS=Escherichia coli (strain K12) GN=mnmE PE=1 SV=3,mnmE,12,843.89,49182.62977,2,292,484,330,228,258,273,236,263,243,237,176,178,141,190,290,349,292,263,243,237,243,242
P36979,Ribosomal RNA large subunit methyltransferase N OS=Escherichia coli (strain K12) GN=rlmN PE=1 SV=1,rlmN,12,679.23,43039.98018,2,215,755,420,137,202,168,176,145,219,164,113,82,49,32,105,116,80,114,157,84,199,162
P0A7B1,Polyphosphate kinase OS=Escherichia coli (strain K12) GN=ppk PE=1 SV=2,ppk,12,657.97,80363.19065,2,60,71,50,62,49,94,66,56,115,94,101,97,88,73,64,182,109,87,65,55,57,92
P16676,Sulfate/thiosulfate import ATP-binding protein CysA OS=Escherichia coli (strain K12) GN=cysA PE=3 SV=2,cysA,12,753.74,41015.48876,2,705,203,502,564,843,577,828,968,768,529,350,264,143,94,325,872,742,752,653,454,807,840
P45523,FKBP-type peptidyl-prolyl cis-trans isomerase fkpA OS=Escherichia coli (strain K12) GN=fkpA PE=1 SV=1,fkpA,12,591.92,28846.14416,2,5679,10637,7206,2885,3649,3833,4797,4675,3020,2353,1993,1649,2587,2507,4629,3865,5086,4577,4375,2967,4160,6050
P0A6Y5,33 kDa chaperonin OS=Escherichia coli (strain K12) GN=hslO PE=1 SV=1,hslO,12,638.13,32495.88996,2,2363,5556,4248,1452,1940,1874,2026,1660,1852,1660,1411,1114,881,1229,1962,1857,1788,1845,1815,1176,1473,1664
P77689,FeS cluster assembly protein sufD OS=Escherichia coli (strain K12) GN=sufD PE=1 SV=1,sufD,12,913.94,46775.93929,2,252,154,218,192,173,196,219,234,187,131,94,84,323,364,648,494,296,529,248,180,193,244
P22188,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2",murE,12,772.2,53291.93557,2,512,700,555,509,396,344,376,503,337,277,222,203,232,192,413,599,585,462,396,302,351,435
P37692,ADP-heptose--LPS heptosyltransferase 2 OS=Escherichia coli (strain K12) GN=rfaF PE=1 SV=1,rfaF,12,815.31,38999.06083,1,189,373,NA,55,193,136,259,93,52,56,69,31,27,14,127,106,138,NA,NA,54,118,NA
P39180,Antigen 43 OS=Escherichia coli (strain K12) GN=flu PE=1 SV=3,flu,12,857.48,106742.9816,2,59,103,98,74,34,146,48,48,32,41,34,68,78,67,105,392,127,61,98,172,16,325
P21888,Cysteinyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=cysS PE=1 SV=2,cysS,12,798.56,52150.62339,2,550,856,550,277,354,382,381,391,335,253,228,186,302,192,626,577,573,591,355,410,339,572
P0A805,Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1,frr,12,702.98,20607.85322,2,5649,8329,7000,3121,3492,3761,4157,3912,3234,3015,2385,2064,2802,2684,5463,5116,5856,4595,3568,2616,3540,4212
P0A707,Translation initiation factor IF-3 OS=Escherichia coli (strain K12) GN=infC PE=1 SV=1,infC,12,945.43,20533.04237,2,6930,13496,9227,3918,5559,5497,6603,5435,5871,4621,3623,3162,4716,5467,12254,9131,8260,9763,6919,7327,8414,10509
P0A7W7,30S ribosomal protein S8 OS=Escherichia coli (strain K12) GN=rpsH PE=1 SV=2,rpsH,12,717.25,14099.51014,2,22152,58622,37259,9190,14453,17287,18273,13560,14108,9130,7225,6233,10561,9376,20079,25849,21772,19981,14176,10026,15466,22410
P14081,Selenocysteine-specific elongation factor OS=Escherichia coli (strain K12) GN=selB PE=1 SV=3,selB,12,717.82,68806.64349,2,49,58,66,28,35,34,44,48,59,35,34,34,6,5,23,79,35,40,43,32,36,40
P0AAI9,Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2,fabD,12,731.15,32378.37752,2,3385,6549,5422,2024,2233,2226,2283,2282,1708,1443,1351,1232,1070,1297,2178,1838,2438,1908,2232,1139,2165,2292
P09127,Putative uroporphyrinogen-III C-methyltransferase OS=Escherichia coli (strain K12) GN=hemX PE=1 SV=1,hemX,12,695.25,42918.90191,2,587,996,1026,429,580,581,622,602,449,449,427,367,316,331,628,498,533,593,615,589,633,527
P31057,3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1,panB,12,702,28201.38237,2,2579,2118,2711,2650,2510,2222,2246,2087,2465,2307,2033,2074,1260,1081,1868,2806,2139,2278,2034,1486,1812,2224
P31663,Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1,panC,12,792.88,31559.67743,2,1286,1437,1365,1092,1188,1173,1359,1420,1108,932,902,817,710,717,1439,1511,1557,1329,999,1028,1041,1316
P04425,Glutathione synthetase OS=Escherichia coli (strain K12) GN=gshB PE=1 SV=1,gshB,12,909.05,35520.25741,2,1279,1594,1638,1116,1043,1060,1154,1073,1021,958,870,842,583,586,1270,1014,1388,1301,1157,1083,1114,1273
P69783,Glucose-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=crr PE=1 SV=2,crr,12,660.78,18221.73165,2,33524,25210,27051,17108,21004,29541,24827,20525,26225,24667,23750,23449,18977,22967,34345,32036,32331,23122,25358,24931,19715,29309
P0A6V1,Glucose-1-phosphate adenylyltransferase OS=Escherichia coli (strain K12) GN=glgC PE=1 SV=2,glgC,12,683.23,48648.4803,2,240,309,283,288,213,257,292,310,427,382,374,398,222,263,224,326,328,269,260,181,213,274
P24215,Mannonate dehydratase OS=Escherichia coli (strain K12) GN=uxuA PE=1 SV=2,uxuA,12,707.59,44791.5738,2,395,1902,859,347,508,448,494,332,417,481,579,518,225,159,248,294,316,286,580,417,381,360
P02924,L-arabinose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=araF PE=1 SV=2,araF,12,453.09,35500.25494,2,35,101,81,145,236,139,89,109,118,312,381,656,308,258,52,62,27,89,176,339,163,29
P69811,Multiphosphoryl transfer protein OS=Escherichia coli (strain K12) GN=fruB PE=1 SV=1,fruB,12,901.74,39605.51132,2,301,590,395,138,179,389,257,136,266,224,206,178,244,423,408,542,320,355,265,185,165,6903
P69831,Galactitol permease IIC component OS=Escherichia coli (strain K12) GN=gatC PE=1 SV=1,gatC,12,660.86,48315.16646,2,580,3567,2060,2414,3003,3058,2295,2748,4826,6462,4783,3800,176,138,217,320,372,1099,2585,1146,3242,2049
P0AE12,AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1,amn,12,742.55,53943.36241,2,426,313,298,393,361,438,446,450,487,391,403,337,327,296,523,585,567,530,398,351,345,448
P60560,GMP reductase OS=Escherichia coli (strain K12) GN=guaC PE=1 SV=1,guaC,12,715.5,37341.7954,2,1145,1215,663,650,1166,1033,1149,1217,1190,577,348,251,347,414,660,1342,780,1110,898,729,1157,1165
P0AG16,Amidophosphoribosyltransferase OS=Escherichia coli (strain K12) GN=purF PE=1 SV=2,purF,12,769.17,56434.59517,2,771,110,634,280,331,453,394,498,457,302,211,169,94,117,378,765,376,391,436,240,401,620
P07024,Protein UshA OS=Escherichia coli (strain K12) GN=ushA PE=1 SV=2,ushA,12,656.64,60767.7396,2,363,459,541,300,375,442,385,315,346,334,318,279,303,336,413,458,418,338,331,334,364,296
P0A6C8,Acetylglutamate kinase OS=Escherichia coli (strain K12) GN=argB PE=1 SV=1,argB,12,980.26,27124.47333,2,6391,405,527,2343,2928,3414,3864,3905,2748,1761,1871,2263,634,666,3108,5518,4453,3676,3547,2759,3629,5486
