Genes	b_number	Product	MW_kDa	ecocyc_accession_id	Product	UniProt	biocyc_id
dppB	b3543	dipeptide ABC transporter membrane subunit DppB	37.497	ECK3530	dipeptide ABC transporter membrane subunit DppB	P0AEF8	DPPB-MONOMER
dppC	b3542	dipeptide ABC transporter membrane subunit DppC	32.308002	ECK3529	dipeptide ABC transporter membrane subunit DppC	P0AEG1	DPPC-MONOMER
dppD	b3541	dipeptide ABC transporter ATP binding subunit DppD	35.844	ECK3528	dipeptide ABC transporter ATP binding subunit DppD	P0AAG0	DPPD-MONOMER
dppF	b3540	dipeptide ABC transporter ATP binding subunit DppF	37.56	ECK3527	dipeptide ABC transporter ATP binding subunit DppF	P37313	DPPF-MONOMER
dps	b0812	DNA protection during starvation protein	18.695002	ECK0801	DNA protection during starvation protein	P0ABT2	EG11415-MONOMER
drpB	b1963	cell division protein DrpB	11.325001	ECK1961	cell division protein DrpB	P76334	G7051-MONOMER
dsbA	b3860	thiol:disulfide oxidoreductase - DsbA<sub>oxidized</sub> // thiol:disulfide oxidoreductase DsbA	23.105001	ECK3852	thiol:disulfide oxidoreductase - DsbA<sub>oxidized</sub> // thiol:disulfide oxidoreductase DsbA	P0AEG4	thiol:disulfide oxidoreductase - DsbA<sub>oxidized</sub> // thiol:disulfide oxidoreductase DsbA
dsbB	b1185	protein thiol:quinone oxidoreductase DsbB<sub>oxidized</sub> // protein thiol:quinone oxidoreductase DsbB	20.142	ECK1173	protein thiol:quinone oxidoreductase DsbB<sub>oxidized</sub> // protein thiol:quinone oxidoreductase DsbB	P0A6M2	protein thiol:quinone oxidoreductase DsbB<sub>oxidized</sub> // protein thiol:quinone oxidoreductase DsbB
dsbC	b2893	protein disulfide isomerase DsbC	25.622002	ECK2888	protein disulfide isomerase DsbC	P0AEG6	DSBC-MONOMER
dsbD	b4136	thiol-disulfide exchange protein DsbD<sub>oxidized</sub> // thiol-disulfide exchange protein DsbD	61.795002	ECK4130	thiol-disulfide exchange protein DsbD<sub>oxidized</sub> // thiol-disulfide exchange protein DsbD	P36655	thiol-disulfide exchange protein DsbD<sub>oxidized</sub> // thiol-disulfide exchange protein DsbD
dsbG	b0604	protein sulfenic acid reductase and chaperone DsbG	27.495	ECK0598	protein sulfenic acid reductase and chaperone DsbG	P77202	DSBG-MONOMER
dsdA	b2366	D-serine ammonia-lyase	47.901	ECK2362	D-serine ammonia-lyase	P00926	DSERDEAM-MONOMER
dsdC	b2364	DNA-binding transcriptional dual regulator DsdC	35.332	ECK2360	DNA-binding transcriptional dual regulator DsdC	P46068	PD00297
dsdX	b2365	D-serine transporter	47.163002	ECK2361	D-serine transporter	P08555	DSDX-MONOMER
dsrA	b1954	small regulatory RNA DsrA		ECK1952	small regulatory RNA DsrA		DSRA-RNA
dsrB	b1952	protein DsrB	6.946	ECK1950	protein DsrB	P0AEG8	G7045-MONOMER
dtd	b3887	D-aminoacyl-tRNA deacylase	15.950001	ECK3880	D-aminoacyl-tRNA deacylase	P0A6M4	EG11852-MONOMER
dtpA	b1634	dipeptide/tripeptide:H<sup>+</sup> symporter DtpA	53.991	ECK1630	dipeptide/tripeptide:H<sup>+</sup> symporter DtpA	P77304	B1634-MONOMER
dtpB	b3496	dipeptide/tripeptide:H<sup>+</sup> symporter DtpB	53.575	ECK3481	dipeptide/tripeptide:H<sup>+</sup> symporter DtpB	P36837	YHIP-MONOMER
dtpC	b4130	dipeptide/tripeptide:H<sup>+</sup> symporter DtpC	53.055004	ECK4124	dipeptide/tripeptide:H<sup>+</sup> symporter DtpC	P39276	YJDL-MONOMER
dtpD	b0709	dipeptide:H<sup>+</sup> symporter DtpD	54.159004	ECK0698	dipeptide:H<sup>+</sup> symporter DtpD	P75742	B0709-MONOMER
dusA	b4049	tRNA-dihydrouridine synthase A	38.468002	ECK4041	tRNA-dihydrouridine synthase A	P32695	EG11932-MONOMER
dusB	b3260	tRNA-dihydrouridine synthase B	35.866	ECK3247	tRNA-dihydrouridine synthase B	P0ABT5	EG11311-MONOMER
dusC	b2140	tRNA-dihydrouridine<sup>16</sup> synthase	35.199	ECK2133	tRNA-dihydrouridine<sup>16</sup> synthase	P33371	EG12022-MONOMER
dut	b3640	dUTP diphosphatase	16.287	ECK3630	dUTP diphosphatase	P06968	DUTP-PYROP-MONOMER
dxr	b0173	1-deoxy-D-xylulose 5-phosphate reductoisomerase	43.388	ECK0172	1-deoxy-D-xylulose 5-phosphate reductoisomerase	P45568	DXPREDISOM-MONOMER
dxs	b0420	1-deoxy-D-xylulose-5-phosphate synthase	67.617004	ECK0414	1-deoxy-D-xylulose-5-phosphate synthase	P77488	DXS-MONOMER
eamA	b1533	cysteine/<i>O</i>-acetylserine exporter EamA	32.324	ECK1526	cysteine/<i>O</i>-acetylserine exporter EamA	P31125	EG11639-MONOMER
eamB	b2578	cysteine/<i>O</i>-acetylserine exporter EamB	21.248001	ECK2576	cysteine/<i>O</i>-acetylserine exporter EamB	P38101	EG12445-MONOMER
ebgA	b3076	evolved &beta;-D-galactosidase subunit &alpha;	117.879005	ECK3066	evolved &beta;-D-galactosidase subunit &alpha;	P06864	EG10252-MONOMER
ebgC	b3077	DUF386 domain-containing evolved &beta;-D-galactosidase subunit &beta;	17.457	ECK3067	DUF386 domain-containing evolved &beta;-D-galactosidase subunit &beta;	P0AC73	EG10253-MONOMER
ebgR	b3075	DNA-binding transcriptional repressor EbgR	36.210003	ECK3065	DNA-binding transcriptional repressor EbgR	P06846	PD03254
ecnA	b4410	entericidin A lipoprotein, antidote to entericidin B	4.359	ECK4142	entericidin A lipoprotein, antidote to entericidin B	P0ADB4	MONOMER0-1562
ecnB	b4411	bacteriolytic entericidin B lipoprotein	4.8100004	ECK4143	bacteriolytic entericidin B lipoprotein	P0ADB7	MONOMER0-1563
eco	b2209	serine protease inhibitor ecotin	18.192001	ECK2201	serine protease inhibitor ecotin	P23827	EG10255-MONOMER
ecpA	b0293	common pilus major subunit	20.111	ECK0292	common pilus major subunit	P0AAA3	G6164-MONOMER
ecpB	b0292	putative fimbrial chaperone EcpB	24.517002	ECK0291	putative fimbrial chaperone EcpB	P77188	G6163-MONOMER
ecpC	b0291	putative fimbrial usher protein EcpC	91.228004	ECK0290	putative fimbrial usher protein EcpC	P77802	G6162-MONOMER
ecpD	b0290	fimbrial adhesin EcpD	59.997	ECK0289	fimbrial adhesin EcpD	P77694	G6161-MONOMER
ecpE	b0289	putative fimbrial chaperone EcpE	26.628002	ECK0288	putative fimbrial chaperone EcpE	P77263	G6160-MONOMER
eda	b1850	KHG/KDPG aldolase	22.284	ECK1851	KHG/KDPG aldolase	P0A955	KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER
edd	b1851	phosphogluconate dehydratase	64.639	ECK1852	phosphogluconate dehydratase	P0ADF6	PGLUCONDEHYDRAT-MONOMER
efeB	b1019	heme-containing peroxidase/deferrochelatase	46.754	ECK1009	heme-containing peroxidase/deferrochelatase	P31545	EG11735-MONOMER
efeO	b1018	ferrous iron transport system protein EfeO	41.138	ECK1008	ferrous iron transport system protein EfeO	P0AB24	G6527-MONOMER
efp	b4147	protein chain elongation factor EF-P, &beta;-lysyl-Lys34 // protein chain elongation factor EF-P	20.591002	ECK4141	protein chain elongation factor EF-P, &beta;-lysyl-Lys34 // protein chain elongation factor EF-P	P0A6N4	protein chain elongation factor EF-P, &beta;-lysyl-Lys34 // protein chain elongation factor EF-P
elaA	b2267	putative acetyltransferase ElaA	17.42	ECK2261	putative acetyltransferase ElaA	P0AEH3	G7174-MONOMER
elaB	b2266	tail-anchored inner membrane protein ElaB	11.306001	ECK2260	tail-anchored inner membrane protein ElaB	P0AEH5	G7173-MONOMER
elaD	b2269	protease ElaD	46.078003	ECK2263	protease ElaD	Q47013	G7176-MONOMER
elbB	b3209	low activity glyoxalase ElbB	22.982	ECK3198	low activity glyoxalase ElbB	P0ABU5	EG11383-MONOMER
elfA	b0938	putative laminin-binding fimbrial subunit	18.68	ECK0929	putative laminin-binding fimbrial subunit	P75855	G6480-MONOMER
elfC	b0940	putative fimbrial usher protein ElfC	95.242004	ECK0931	putative fimbrial usher protein ElfC	P75857	G6482-MONOMER
elfD	b0939	putative fimbrial chaperone ElfD	25.389002	ECK0930	putative fimbrial chaperone ElfD	P75856	G6481-MONOMER
elfG	b0941	putative fimbrial-like adhesin protein	37.851	ECK0932	putative fimbrial-like adhesin protein	P75858	G6483-MONOMER
elyC	b0920	envelope biogenesis factor	28.666002	ECK0911	envelope biogenesis factor	P0AB01	EG12166-MONOMER
emrA	b2685	multidrug efflux pump membrane fusion protein EmrA	42.736004	ECK2679	multidrug efflux pump membrane fusion protein EmrA	P27303	EG11354-MONOMER
emrB	b2686	multidrug efflux pump membrane subunit EmrB	55.624004	ECK2680	multidrug efflux pump membrane subunit EmrB	P0AEJ0	EMRB-MONOMER
emrD	b3673	multidrug efflux pump EmrD	42.216003	ECK3664	multidrug efflux pump EmrD	P31442	EMRD-MONOMER
emrE	b0543	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE	11.958	ECK0534	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE	P23895	EMRE-MONOMER
emrK	b2368	tripartite efflux pump membrane fusion protein EmrK	42.585003	ECK2364	tripartite efflux pump membrane fusion protein EmrK	P52599	G7233-MONOMER
emrY	b2367	tripartite efflux pump membrane subunit EmrY	56.001003	ECK2363	tripartite efflux pump membrane subunit EmrY	P52600	EMRY-MONOMER
emtA	b1193	lytic murein transglycosylase E	22.227001	ECK1181	lytic murein transglycosylase E	P0C960	G6622-MONOMER
endA	b2945	DNA-specific endonuclease I	26.709002	ECK2940	DNA-specific endonuclease I	P25736	EG11336-MONOMER
eno	b2779	enolase	45.655003	ECK2773	enolase	P0A6P9	ENOLASE-MONOMER
entA	b0596	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	26.250002	ECK0589	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	P15047	ENTA-MONOMER
entB	b0595	<i>holo</i> EntB // enterobactin synthase component B	32.554	ECK0588	<i>holo</i> EntB // enterobactin synthase component B	P0ADI4	<i>holo</i> EntB // enterobactin synthase component B
entC	b0593	isochorismate synthase EntC	42.932003	ECK0586	isochorismate synthase EntC	P0AEJ2	ENTC-MONOMER
entD	b0583	phosphopantetheinyl transferase EntD	23.259	ECK0575	phosphopantetheinyl transferase EntD	P19925	ENTD-MONOMER
entE	b0594	2,3-dihydroxybenzoate-AMP ligase	59.112003	ECK0587	2,3-dihydroxybenzoate-AMP ligase	P10378	ENTE-MONOMER
entF	b0586	seryl-[EntF peptidyl-carrier protein] // <i>holo</i> [EntF peptidyl-carrier protein] // apo-serine activating enzyme	141.9908 // 141.99	ECK0579	seryl-[EntF peptidyl-carrier protein] // <i>holo</i> [EntF peptidyl-carrier protein] // apo-serine activating enzyme	P11454	seryl-[EntF peptidyl-carrier protein] // <i>holo</i> [EntF peptidyl-carrier protein] // apo-serine activating enzyme
entH	b0597	proofreading thioesterase in enterobactin biosynthesis	14.97	ECK0590	proofreading thioesterase in enterobactin biosynthesis	P0A8Y8	EG11105-MONOMER
entS	b0591	enterobactin exporter EntS	43.282	ECK0584	enterobactin exporter EntS	P24077	YBDA-MONOMER
envC	b3613	murein hydrolase activator EnvC	46.595	ECK3603	murein hydrolase activator EnvC	P37690	EG12297-MONOMER
envR	b3264	DNA-binding transcriptional repressor EnvR	25.198002	ECK3251	DNA-binding transcriptional repressor EnvR	P0ACT2	EG11741-MONOMER
envY	b0566	DNA-binding transcriptional activator EnvY	29.019001	ECK0558	DNA-binding transcriptional activator EnvY	P10805	PD00969
envZ	b3404	sensor histidine kinase EnvZ	50.334003	ECK3391	sensor histidine kinase EnvZ	P0AEJ4	ENVZ-MONOMER
epd	b2927	D-erythrose-4-phosphate dehydrogenase	37.299004	ECK2923	D-erythrose-4-phosphate dehydrogenase	P0A9B6	ERYTH4PDEHYDROG-MONOMER
epmA	b4155	EF-P-lysine lysyltransferase	36.976	ECK4151	EF-P-lysine lysyltransferase	P0A8N7	EG11211-MONOMER
epmB	b4146	lysine 2,3-aminomutase	38.75	ECK4140	lysine 2,3-aminomutase	P39280	G7836-MONOMER
epmC	b2326	EF-P-Lys34 hydroxylase	21.146002	ECK2320	EF-P-Lys34 hydroxylase	P76938	G7201-MONOMER
eptA	b4114	phosphoethanolamine transferase EptA	61.667004	ECK4107	phosphoethanolamine transferase EptA	P30845	EG11613-MONOMER
eptB	b3546	phosphoethanolamine transferase EptB	63.804005	ECK3533	phosphoethanolamine transferase EptB	P37661	EG12267-MONOMER
eptC	b3955	phosphoethanolamine transferase EptC	66.61	ECK3946	phosphoethanolamine transferase EptC	P0CB39	EG11914-MONOMER
era	b2566	30S ribosomal subunit maturation GTPase Era	33.81	ECK2564	30S ribosomal subunit maturation GTPase Era	P06616	EG10270-MONOMER
erpA	b0156	iron-sulfur cluster insertion protein ErpA	12.1	ECK0155	iron-sulfur cluster insertion protein ErpA	P0ACC3	EG12332-MONOMER
esrE	b4707	small RNA EsrE		ECK4519	small RNA EsrE		RNA0-372
essD	b0554	DLP12 prophage; putative phage lysis protein	7.7780004	ECK0545	DLP12 prophage; putative phage lysis protein	P0A9R2	G6309-MONOMER
essQ	b1556	Qin prophage; putative prophage lysis protein EssQ	7.741	ECK1550	Qin prophage; putative prophage lysis protein EssQ	P77237	G6829-MONOMER
etk	b0981	protein-tyrosine kinase Etk	81.242004	ECK0972	protein-tyrosine kinase Etk	P38134	EG11826-MONOMER
etp	b0982	phosphotyrosine-protein phosphatase Etp	16.386002	ECK0973	phosphotyrosine-protein phosphatase Etp	P0ACZ2	G6503-MONOMER
ettA	b4391	energy-dependent translational throttle protein EttA	62.443005	ECK4383	energy-dependent translational throttle protein EttA	P0A9W3	YJJK-MONOMER
eutA	b2451	ethanolamine ammonia-lyase reactivase EutA	49.599003	ECK2446	ethanolamine ammonia-lyase reactivase EutA	P76551	G7281-MONOMER
eutB	b2441	ethanolamine ammonia-lyase subunit &alpha;	49.403004	ECK2436	ethanolamine ammonia-lyase subunit &alpha;	P0AEJ6	EUTB-MONOMER
eutC	b2440	ethanolamine ammonia-lyase subunit &beta;	31.782001	ECK2435	ethanolamine ammonia-lyase subunit &beta;	P19636	EUTC-MONOMER
eutD	b2458	phosphate acetyltransferase EutD	36.067	ECK2453	phosphate acetyltransferase EutD	P77218	G7288-MONOMER
eutE	b2455	acetaldehyde dehydrogenase (acetylating) EutE	49.022003	ECK2450	acetaldehyde dehydrogenase (acetylating) EutE	P77445	G7285-MONOMER
eutG	b2453	putative alcohol dehydrogenase EutG	41.031002	ECK2448	putative alcohol dehydrogenase EutG	P76553	G7283-MONOMER
eutH	b2452	putative ethanolamine permease EutH	42.807003	ECK2447	putative ethanolamine permease EutH	P76552	G7282-MONOMER
eutJ	b2454	putative ethanolamine utilization chaperonin EutJ	30.082	ECK2449	putative ethanolamine utilization chaperonin EutJ	P77277	G7284-MONOMER
eutK	b2438	putative structural protein, ethanolamine utilization microcompartment	17.893002	ECK2433	putative structural protein, ethanolamine utilization microcompartment	P76540	G7270-MONOMER
eutL	b2439	putative structural protein, ethanolamine utilization microcompartment	22.788002	ECK2434	putative structural protein, ethanolamine utilization microcompartment	P76541	G7271-MONOMER
eutM	b2457	putative ethanolamine catabolic microcompartment shell protein EutM	9.866	ECK2452	putative ethanolamine catabolic microcompartment shell protein EutM	P0ABF4	G7287-MONOMER
eutN	b2456	putative ethanolamine catabolic microcompartment shell protein EutN	9.956	ECK2451	putative ethanolamine catabolic microcompartment shell protein EutN	P0AEJ8	G7286-MONOMER
eutP	b2461	putative ethanolamine utilization acetate kinase EutP	17.659	ECK2456	putative ethanolamine utilization acetate kinase EutP	P76556	G7291-MONOMER
eutQ	b2460	putative ethanolamine utilization acetate kinase EutQ	25.418001	ECK2455	putative ethanolamine utilization acetate kinase EutQ	P76555	G7290-MONOMER
eutR	b2437	putative DNA-binding transcriptional regulator EutR	40.160004	ECK2432	putative DNA-binding transcriptional regulator EutR	P36547	EG12190-MONOMER
eutS	b2462	putative ethanolamine catabolic microcompartment shell protein EutS	11.650001	ECK2457	putative ethanolamine catabolic microcompartment shell protein EutS	P63746	G7292-MONOMER
eutT	b2459	putative ethanolamine utilization cobalamin adenosyltransferase	30.172	ECK2454	putative ethanolamine utilization cobalamin adenosyltransferase	P65643	G7289-MONOMER
evgA	b2369	DNA-binding transcriptional activator EvgA-phosphorylated // DNA-binding transcriptional activator EvgA	22.690174 // 22.69	ECK2365	DNA-binding transcriptional activator EvgA-phosphorylated // DNA-binding transcriptional activator EvgA	P0ACZ4	DNA-binding transcriptional activator EvgA-phosphorylated // DNA-binding transcriptional activator EvgA
evgL	b4781	protein EvgL	1.029	ECK4638	protein EvgL	P0DSF9	MONOMER0-4493
evgS	b2370	EvgS-<i>N</i>-phospho-L-histidine-721 // EvgS-phospho-L-aspartate // EvgS-<i>N</i>-phospho-L-histidine-1137 // sensor histidine kinase EvgS	134.74254 // 134.742	ECK2366	EvgS-<i>N</i>-phospho-L-histidine-721 // EvgS-phospho-L-aspartate // EvgS-<i>N</i>-phospho-L-histidine-1137 // sensor histidine kinase EvgS	P30855	EvgS-<i>N</i>-phospho-L-histidine-721 // EvgS-phospho-L-aspartate // EvgS-<i>N</i>-phospho-L-histidine-1137 // sensor histidine kinase EvgS
exbB	b3006	Ton complex subunit ExbB	26.287	ECK2999	Ton complex subunit ExbB	P0ABU7	EG10271-MONOMER
exbD	b3005	Ton complex subunit ExbD	15.527	ECK2998	Ton complex subunit ExbD	P0ABV2	EG10272-MONOMER
exoX	b1844	exonuclease X	25.133001	ECK1845	exonuclease X	P0AEK0	G7016-MONOMER
exuR	b3094	DNA-binding transcriptional repressor ExuR	29.836002	ECK3085	DNA-binding transcriptional repressor ExuR	P0ACL2	PD03270
exuT	b3093	hexuronate transporter	46.892002	ECK3084	hexuronate transporter	P0AA78	EXUT-MONOMER
eyeA	b4690	CP4-6 prophage; small RNA EyeA		ECK4506	CP4-6 prophage; small RNA EyeA		RNA0-358
fabA	b0954	&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase	18.969002	ECK0945	&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase	P0A6Q3	FABA-MONOMER
fabB	b2323	3-oxoacyl-[acyl carrier protein] synthase 1	42.613003	ECK2317	3-oxoacyl-[acyl carrier protein] synthase 1	P0A953	FABB-MONOMER
fabD	b1092	[acyl-carrier-protein] <i>S</i>-malonyltransferase	32.417	ECK1078	[acyl-carrier-protein] <i>S</i>-malonyltransferase	P0AAI9	MALONYL-COA-ACP-TRANSACYL-MONOMER
fabF	b1095	3-oxoacyl-[acyl carrier protein] synthase 2	43.046	ECK1081	3-oxoacyl-[acyl carrier protein] synthase 2	P0AAI5	3-OXOACYL-ACP-SYNTHII-MONOMER
fabG	b1093	3-oxoacyl-[acyl-carrier-protein] reductase FabG	25.560001	ECK1079	3-oxoacyl-[acyl-carrier-protein] reductase FabG	P0AEK2	3-OXOACYL-ACP-REDUCT-MONOMER
fabH	b1091	3-oxoacyl-[acyl carrier protein] synthase 3	33.515003	ECK1077	3-oxoacyl-[acyl carrier protein] synthase 3	P0A6R0	FABH-MONOMER
fabI	b1288	enoyl-[acyl-carrier-protein] reductase	27.864002	ECK1283	enoyl-[acyl-carrier-protein] reductase	P0AEK4	ENOYL-ACP-REDUCT-NADH-MONOMER
fabR	b3963	DNA-binding transcriptional repressor FabR	26.553001	ECK3955	DNA-binding transcriptional repressor FabR	P0ACU5	EG11394-MONOMER
fabY	b3888	putative fatty acid biosynthesis enzyme FabY	37.094	ECK3881	putative fatty acid biosynthesis enzyme FabY	P0ADQ2	EG11853-MONOMER
fabZ	b0180	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	17.033	ECK0179	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	P0A6Q6	FABZ-MONOMER
fadA	b3845	3-ketoacyl-CoA thiolase	40.876003	ECK3837	3-ketoacyl-CoA thiolase	P21151	FADA-MONOMER
fadB	b3846	multifunctional enoyl-CoA hydratase, 3-hydroxyacyl-CoA epimerase, &Delta;<sup>3</sup>-<i>cis</i>- &Delta;<sup>2</sup>-<i>trans</i>-enoyl-CoA isomerase, L-3-hydroxyacyl-CoA dehydrogenase	79.594	ECK3838	multifunctional enoyl-CoA hydratase, 3-hydroxyacyl-CoA epimerase, &Delta;<sup>3</sup>-<i>cis</i>- &Delta;<sup>2</sup>-<i>trans</i>-enoyl-CoA isomerase, L-3-hydroxyacyl-CoA dehydrogenase	P21177	FADB-MONOMER
fadD	b1805	long-chain-fatty-acid&mdash;CoA ligase	62.332005	ECK1803	long-chain-fatty-acid&mdash;CoA ligase	P69451	ACYLCOASYN-MONOMER
fadE	b0221	acyl-CoA dehydrogenase	89.22401	ECK0222	acyl-CoA dehydrogenase	Q47146	ACYLCOADEHYDROG-MONOMER
fadH	b3081	2,4-dienoyl-CoA reductase	72.678	ECK3071	2,4-dienoyl-CoA reductase	P42593	DIENOYLCOAREDUCT-MONOMER
fadI	b2342	3-ketoacyl-CoA thiolase FadI	46.531002	ECK2336	3-ketoacyl-CoA thiolase FadI	P76503	G7213-MONOMER
fadJ	b2341	multifunctional 3-hydroxyacyl-CoA dehydrogenase/3-hydroxyacyl-CoA epimerase/enoyl-CoA hydratase FadJ	77.07201	ECK2335	multifunctional 3-hydroxyacyl-CoA dehydrogenase/3-hydroxyacyl-CoA epimerase/enoyl-CoA hydratase FadJ	P77399	G7212-MONOMER
fadK	b1701	medium-chain-fatty-acid&mdash;CoA ligase	62.759003	ECK1699	medium-chain-fatty-acid&mdash;CoA ligase	P38135	EG12357-MONOMER
fadL	b2344	long-chain fatty acid outer membrane channel / bacteriophage T2 receptor	48.542004	ECK2338	long-chain fatty acid outer membrane channel / bacteriophage T2 receptor	P10384	EG10280-MONOMER
fadM	b0443	long-chain acyl-CoA thioesterase FadM	15.088	ECK0437	long-chain acyl-CoA thioesterase FadM	P77712	G6244-MONOMER
fadR	b1187	DNA-binding transcriptional dual regulator FadR	26.969002	ECK1175	DNA-binding transcriptional dual regulator FadR	P0A8V6	PD01520
fau	b2912	putative 5-formyltetrahydrofolate cyclo-ligase	21.105001	ECK2907	putative 5-formyltetrahydrofolate cyclo-ligase	P0AC28	EG11158-MONOMER
fbaA	b2925	fructose-bisphosphate aldolase class II	39.147003	ECK2921	fructose-bisphosphate aldolase class II	P0AB71	FRUCTBISALD-CLASSII-MONOMER
fbaB	b2097	fructose-bisphosphate aldolase class I	38.109	ECK2090	fructose-bisphosphate aldolase class I	P0A991	FRUCBISALD-CLASSI-MONOMER
fbp	b4232	fructose-1,6-bisphosphatase 1	36.834003	ECK4227	fructose-1,6-bisphosphatase 1	P0A993	F16B-MONOMER
fcl	b2052	GDP-L-fucose synthase	36.141003	ECK2046	GDP-L-fucose synthase	P32055	FCL-MONOMER
fdhD	b3895	sulfurtransferase for molybdenum cofactor sulfuration	30.560001	ECK3888	sulfurtransferase for molybdenum cofactor sulfuration	P32177	EG11859-MONOMER
fdhE	b3891	formate dehydrogenase formation protein	34.747	ECK3884	formate dehydrogenase formation protein	P13024	EG10284-MONOMER
fdhF	b4079	formate dehydrogenase H	79.374	ECK4072	formate dehydrogenase H	P07658	FORMATEDEHYDROGH-MONOMER
fdnG	b1474	formate dehydrogenase N subunit &alpha;	112.963005	ECK1468	formate dehydrogenase N subunit &alpha;	P24183	FDNG-MONOMER
fdnH	b1475	formate dehydrogenase N subunit &beta;	32.239002	ECK1469	formate dehydrogenase N subunit &beta;	P0AAJ3	FDNH-MONOMER
fdnI	b1476	formate dehydrogenase N subunit &gamma;	25.368002	ECK1470	formate dehydrogenase N subunit &gamma;	P0AEK7	FDNI-MONOMER
fdoG	b3894	formate dehydrogenase O subunit &alpha;	112.549	ECK3887	formate dehydrogenase O subunit &alpha;	P32176	FDOG-MONOMER
fdoH	b3893	formate dehydrogenase O subunit &beta;	33.100002	ECK3886	formate dehydrogenase O subunit &beta;	P0AAJ5	FDOH-MONOMER
fdoI	b3892	formate dehydrogenase O subunit &gamma;	24.606	ECK3885	formate dehydrogenase O subunit &gamma;	P0AEL0	FDOI-MONOMER
fdrA	b0518	putative oxamate carbamoyltransferase FdrA	58.596004	ECK0511	putative oxamate carbamoyltransferase FdrA	Q47208	G6287-MONOMER
fdx	b2525	oxidized ferredoxin // reduced ferredoxin	12.3308 // 12.331	ECK2522	oxidized ferredoxin // reduced ferredoxin	P0A9R4	oxidized ferredoxin // reduced ferredoxin
feaB	b1385	phenylacetaldehyde dehydrogenase	53.699	ECK1382	phenylacetaldehyde dehydrogenase	P80668	PHENDEHYD-MONOMER
feaR	b1384	DNA-binding transcriptional activator FeaR	34.620003	ECK1381	DNA-binding transcriptional activator FeaR	Q47129	G6706-MONOMER
fecA	b4291	ferric citrate outer membrane transporter	85.32101	ECK4281	ferric citrate outer membrane transporter	P13036	EG10286-MONOMER
fecB	b4290	ferric citrate ABC transporter periplasmic binding protein	33.146	ECK4280	ferric citrate ABC transporter periplasmic binding protein	P15028	FECB-MONOMER
fecC	b4289	ferric citrate ABC transporter membrane subunit FecC	34.893	ECK4279	ferric citrate ABC transporter membrane subunit FecC	P15030	FECC-MONOMER
fecD	b4288	ferric citrate ABC transporter membrane subunit FecD	34.131	ECK4278	ferric citrate ABC transporter membrane subunit FecD	P15029	FECD-MONOMER
fecE	b4287	ferric citrate ABC transporter ATP binding subunit	28.191002	ECK4277	ferric citrate ABC transporter ATP binding subunit	P15031	FECE-MONOMER
fecI	b4293	RNA polymerase sigma factor FecI	19.480001	ECK4283	RNA polymerase sigma factor FecI	P23484	PD00440
fecR	b4292	ferric citrate regulator FecR	35.532	ECK4282	ferric citrate regulator FecR	P23485	EG10292-MONOMER
feoA	b3408	ferrous iron transport protein A	8.371	ECK3395	ferrous iron transport protein A	P0AEL3	EG12101-MONOMER
feoB	b3409	Fe<sup>2+</sup> transporter FeoB	84.47401	ECK3396	Fe<sup>2+</sup> transporter FeoB	P33650	FEOB-MONOMER
feoC	b3410	ferrous iron transport protein FeoC	8.660001	ECK3397	ferrous iron transport protein FeoC	P64638	EG12933-MONOMER
fepA	b0584	ferric enterobactin outer membrane transporter	82.107	ECK0576	ferric enterobactin outer membrane transporter	P05825	EG10293-MONOMER
fepB	b0592	ferric enterobactin ABC transporter periplasmic binding protein	34.283	ECK0585	ferric enterobactin ABC transporter periplasmic binding protein	P0AEL6	FEPB-MONOMER
fepC	b0588	ferric enterobactin ABC transporter ATP binding subunit	29.784002	ECK0581	ferric enterobactin ABC transporter ATP binding subunit	P23878	FEPC-MONOMER
fepD	b0590	ferric enterobactin ABC transporter membrane subunit FebD	33.871002	ECK0583	ferric enterobactin ABC transporter membrane subunit FebD	P23876	FEPD-MONOMER
fepE	b0587	polysaccharide co-polymerase family protein FepE	42.100002	ECK0580	polysaccharide co-polymerase family protein FepE	P26266	EG10297-MONOMER
fepG	b0589	ferric enterobactin ABC transporter membrane subunit FepG	34.91	ECK0582	ferric enterobactin ABC transporter membrane subunit FepG	P23877	FEPG-MONOMER
fes	b0585	ferric enterobactin esterase	45.652	ECK0577	ferric enterobactin esterase	P13039	EG10299-MONOMER
fetA	b0490	putative iron ABC exporter ATP-binding subunit FetA	25.382002	ECK0484	putative iron ABC exporter ATP-binding subunit FetA	P77279	YBBL-MONOMER
fetB	b0491	putative iron ABC exporter membrane subunit FetB	28.165	ECK0485	putative iron ABC exporter membrane subunit FetB	P77307	G6267-MONOMER
ffh	b2610	signal recognition particle protein component	49.787003	ECK2607	signal recognition particle protein component	P0AGD7	EG10300-MONOMER
ffs	b0455	signal recognition particle 4.5S RNA		ECK0449	signal recognition particle 4.5S RNA		FFS-RNA
